algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.06801736613603473,0.10047639670853183,0.10047639670853183,0.8315412186379928,0.845
DT-FedDQL,0.06801736613603473,0.10090948462537895,0.10090948462537895,0.8321428571428572,0.845
DT-FedDQL,0.0694645441389291,0.10090948462537895,0.10090948462537895,0.8291814946619217,0.845
DT-FedDQL,0.0694645441389291,0.10134257254222608,0.10134257254222608,0.8297872340425532,0.845
DT-FedDQL,0.0694645441389291,0.10177566045907319,0.10177566045907319,0.8303886925795053,0.845
DT-FedDQL,0.0694645441389291,0.10220874837592031,0.10220874837592031,0.8309859154929577,0.845
DT-FedDQL,0.0694645441389291,0.10264183629276744,0.10264183629276744,0.8315789473684211,0.845
DT-FedDQL,0.0694645441389291,0.10307492420961455,0.10307492420961455,0.8321678321678322,0.845
DT-FedDQL,0.07091172214182344,0.10307492420961455,0.10307492420961455,0.8292682926829268,0.845
DT-FedDQL,0.07091172214182344,0.10350801212646167,0.10350801212646167,0.8298611111111112,0.845
DT-FedDQL,0.07091172214182344,0.1039411000433088,0.1039411000433088,0.8304498269896193,0.845
DT-FedDQL,0.07091172214182344,0.1043741879601559,0.1043741879601559,0.8310344827586207,0.845
DT-FedDQL,0.07091172214182344,0.10480727587700303,0.10480727587700303,0.8316151202749141,0.845
DT-FedDQL,0.07091172214182344,0.10524036379385016,0.10524036379385016,0.8321917808219178,0.845
DT-FedDQL,0.07091172214182344,0.10567345171069727,0.10567345171069727,0.8327645051194539,0.845
DT-FedDQL,0.0723589001447178,0.10567345171069727,0.10567345171069727,0.8299319727891157,0.845
DT-FedDQL,0.0723589001447178,0.10610653962754439,0.10610653962754439,0.8305084745762712,0.845
DT-FedDQL,0.0723589001447178,0.10653962754439152,0.10653962754439152,0.831081081081081,0.845
DT-FedDQL,0.0723589001447178,0.10697271546123863,0.10697271546123863,0.8316498316498316,0.845
DT-FedDQL,0.0723589001447178,0.10740580337808575,0.10740580337808575,0.8322147651006712,0.845
DT-FedDQL,0.07380607814761216,0.10740580337808575,0.10740580337808575,0.8294314381270903,0.845
DT-FedDQL,0.07380607814761216,0.10783889129493288,0.10783889129493288,0.83,0.845
DT-FedDQL,0.07380607814761216,0.10827197921177999,0.10827197921177999,0.8305647840531561,0.845
DT-FedDQL,0.07380607814761216,0.10870506712862711,0.10870506712862711,0.8311258278145696,0.845
DT-FedDQL,0.07380607814761216,0.10913815504547424,0.10913815504547424,0.8316831683168316,0.845
DT-FedDQL,0.07380607814761216,0.10957124296232135,0.10957124296232135,0.8322368421052632,0.845
DT-FedDQL,0.07525325615050651,0.10957124296232135,0.10957124296232135,0.8295081967213115,0.845
